1982:Carolanne sex(FEMALE),count(11)
1982:Carole sex(FEMALE),count(29)
1982:Caroleann sex(FEMALE),count(2)
1982:Carolina sex(FEMALE),count(1)
1982:Caroline sex(FEMALE),count(273)
1982:Caroline-Mary sex(FEMALE),count(1)
1982:Carolyn sex(FEMALE),count(40)
1982:Carolyne sex(FEMALE),count(1)
1982:Carolyne-Alice sex(FEMALE),count(1)
1982:Carolynn sex(FEMALE),count(3)
1982:Caron sex(FEMALE),count(3)
1982:Carragh sex(FEMALE),count(1)
1982:Carren sex(FEMALE),count(1)
1982:Carrianne sex(FEMALE),count(1)
1982:Carrick sex(MALE),count(2)
1982:Carrie sex(FEMALE),count(82)
1982:Carrie-Ann sex(FEMALE),count(7)
1982:Carrie-Anne sex(FEMALE),count(8)
1982:Carrieann sex(FEMALE),count(1)
1982:Carrina sex(FEMALE),count(1)
1982:Carron sex(FEMALE),count(1)
1982:Caryn sex(FEMALE),count(4)
1982:Carys sex(FEMALE),count(2)
1982:Casandra sex(FEMALE),count(1)
1982:Casey sex(MALE),count(1)
1982:Caspar sex(MALE),count(1)
1982:Cassandra sex(FEMALE),count(9)
1982:Cassia sex(FEMALE),count(1)
1982:Cassie sex(FEMALE),count(4)
1982:Catherina sex(FEMALE),count(1)
1982:Catherine sex(MALE),count(1)
1982:Catherine sex(FEMALE),count(224)
1982:Catherine-Anne sex(FEMALE),count(1)
1982:Cathleen sex(FEMALE),count(3)
1982:Cathrine sex(FEMALE),count(2)
1982:Cathryn sex(FEMALE),count(1)
1982:Cathy sex(FEMALE),count(3)
1982:Catrina sex(FEMALE),count(14)
1982:Catriona sex(FEMALE),count(112)
1982:Ceara sex(FEMALE),count(1)
1982:Cecilia sex(FEMALE),count(6)
1982:Ceinwen sex(FEMALE),count(1)
1982:Ceinwyn sex(FEMALE),count(1)
1982:Ceira sex(FEMALE),count(1)
1982:Ceire sex(FEMALE),count(1)
1982:Celene sex(FEMALE),count(1)
1982:Celeste sex(FEMALE),count(3)
1982:Celia sex(FEMALE),count(1)
1982:Celina sex(FEMALE),count(1)
1982:Celine sex(FEMALE),count(1)
1982:Ceri sex(FEMALE),count(3)
1982:Cesare sex(MALE),count(1)
1982:Chace sex(MALE),count(1)
1982:Chad sex(MALE),count(4)
1982:Chalmers sex(MALE),count(1)
1982:Chan sex(FEMALE),count(1)
1982:Chanelle sex(FEMALE),count(1)
1982:Chani sex(FEMALE),count(1)
1982:Chanine sex(FEMALE),count(1)
1982:Channa sex(FEMALE),count(1)
1982:Chantal sex(FEMALE),count(1)
1982:Chantelle sex(FEMALE),count(2)
1982:Charelle sex(FEMALE),count(1)
1982:Chares sex(MALE),count(1)
1982:Chariene sex(FEMALE),count(1)
1982:Charis sex(FEMALE),count(4)
1982:Charise sex(FEMALE),count(2)
1982:Charleen sex(FEMALE),count(5)
1982:Charlene sex(FEMALE),count(178)
1982:Charles sex(MALE),count(108)
1982:Charles sex(FEMALE),count(1)
1982:Charlette sex(FEMALE),count(1)
1982:Charlotte sex(FEMALE),count(26)
1982:Charmaine sex(FEMALE),count(11)
1982:Charmange sex(FEMALE),count(1)
1982:Charmian sex(FEMALE),count(1)
1982:Charna sex(FEMALE),count(1)
1982:Charro sex(FEMALE),count(1)
1982:Che sex(MALE),count(1)
1982:Chee sex(MALE),count(1)
1982:Chelsea sex(FEMALE),count(1)
1982:Cher sex(FEMALE),count(2)
1982:Cheral sex(FEMALE),count(1)
1982:Cheran sex(FEMALE),count(1)
1982:Cherene sex(FEMALE),count(1)
1982:Cheri sex(FEMALE),count(3)
1982:Cherice sex(FEMALE),count(1)
1982:Cherie sex(FEMALE),count(15)
1982:Cherine sex(FEMALE),count(1)
1982:Cherise sex(FEMALE),count(1)
1982:Cherlene sex(FEMALE),count(1)
1982:Cherlouise sex(FEMALE),count(1)
1982:Cherly sex(FEMALE),count(2)
1982:Cherly-Lee sex(FEMALE),count(1)
1982:Cherrel sex(FEMALE),count(1)
1982:Cherrie sex(FEMALE),count(1)
1982:Cherry sex(FEMALE),count(2)
1982:Cheryl sex(FEMALE),count(219)
1982:Cheryl-Ann sex(FEMALE),count(2)
1982:Cheryl-Anne sex(FEMALE),count(1)
1982:Cheryle sex(FEMALE),count(2)
1982:Cheryll sex(FEMALE),count(1)
1982:Cheves sex(FEMALE),count(1)
1982:Chevonne sex(FEMALE),count(3)
1982:Chi sex(MALE),count(5)
1982:Chi-Wing sex(MALE),count(1)
1982:Chiara sex(FEMALE),count(3)
1982:Chien sex(MALE),count(1)
1982:Chimaobi sex(MALE),count(1)
1982:Chinda sex(MALE),count(1)
1982:Chirene sex(FEMALE),count(1)
1982:Chirsty sex(FEMALE),count(1)
1982:Chloe sex(FEMALE),count(23)
1982:Chong sex(MALE),count(1)
1982:Chor sex(MALE),count(1)
1982:Chris sex(MALE),count(8)
1982:Chrisina sex(FEMALE),count(1)
1982:Chrisopher sex(MALE),count(1)
1982:Christian sex(MALE),count(6)
1982:Christian sex(FEMALE),count(1)
1982:Christian-James sex(MALE),count(1)
1982:Christiana sex(FEMALE),count(1)
1982:Christie sex(MALE),count(1)
1982:Christie sex(FEMALE),count(1)
1982:Christina sex(FEMALE),count(78)
1982:Christine sex(FEMALE),count(140)
1982:Christopher sex(MALE),count(1406)
1982:Christos sex(MALE),count(1)
1982:Christy sex(FEMALE),count(3)
1982:Chrys sex(MALE),count(1)
1982:Chrystal sex(FEMALE),count(1)
1982:Chuk sex(MALE),count(1)
1982:Chun sex(MALE),count(4)
1982:Chung sex(MALE),count(1)
1982:Chyvonne sex(FEMALE),count(1)
1982:Ciara sex(FEMALE),count(4)
1982:Ciaran sex(MALE),count(7)
1982:Ciaron sex(MALE),count(1)
1982:Cindy sex(FEMALE),count(4)
1982:Ciorsdidh sex(FEMALE),count(1)
1982:Clair sex(FEMALE),count(48)
1982:Claira sex(FEMALE),count(1)
1982:Claire sex(FEMALE),count(982)
1982:Claire-Elizabet sex(FEMALE),count(1)
1982:Clara sex(FEMALE),count(6)
1982:Clare sex(FEMALE),count(170)
1982:Clare-Ann sex(FEMALE),count(1)
1982:Clare-Louise sex(FEMALE),count(2)
1982:Clarinda sex(FEMALE),count(1)
1982:Clarissa sex(FEMALE),count(1)
1982:Clarisse sex(FEMALE),count(1)
1982:Clark sex(MALE),count(10)
1982:Clarke sex(MALE),count(3)
1982:Claudette sex(FEMALE),count(1)
1982:Claudia sex(FEMALE),count(3)
1982:Clayton sex(MALE),count(3)
1982:Clementine sex(FEMALE),count(2)
1982:Clemmie sex(FEMALE),count(1)
